Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
JSPotentiallyInvalidConstructorUsage;JavaScript and TypeScript/Probable bugs;Potentially invalid constructor usage;JavaScript;LOCAL;0.82;29.51%;0;10
JSUnusedAssignment;JavaScript and TypeScript/Unused symbols;Unused assignment;JavaScript;LOCAL;0.53;19.21%;0;10
VueMissingComponentImportInspection;Vue;Missing component import;Vue;LOCAL;0.29;10.30%;0;10
JSDeprecatedSymbols;JavaScript and TypeScript/General;Deprecated symbol used;JavaScript;LOCAL;0.28;10.05%;0;8
JSFileReferences;JavaScript and TypeScript/General;Unresolved file reference;JavaScript;LOCAL;0.17;6.05%;0;9
TypeScriptUMDGlobal;JavaScript and TypeScript/TypeScript;Referenced UMD global variable;JavaScript;LOCAL;0.15;5.37%;0;9
JSAccessibilityCheck;JavaScript and TypeScript/General;Inaccessible @private and @protected members referenced;JavaScript;LOCAL;0.13;4.85%;0;9
InjectedReferences;General;Injected references;none;LOCAL;0.12;4.34%;0;3
TypeScriptUnresolvedVariable;JavaScript and TypeScript/TypeScript;Unresolved TypeScript variable;TypeScript;LOCAL;0.03;0.97%;0;10
JSCheckFunctionSignatures;JavaScript and TypeScript/General;Signature mismatch;JavaScript;LOCAL;0.02;0.80%;0;8
HtmlWrongAttributeValue;HTML;Wrong attribute value;HtmlCompatible;LOCAL;0.02;0.59%;0;1
TypeScriptUnresolvedFunction;JavaScript and TypeScript/TypeScript;Unresolved TypeScript function;TypeScript;LOCAL;0.02;0.54%;0;8
JSUnusedLocalSymbols;JavaScript and TypeScript/Unused symbols;Unused local symbol;JavaScript;LOCAL;0.01;0.48%;2;5
JSObjectNullOrUndefined;JavaScript and TypeScript/Control flow issues;Object is 'null' or 'undefined';JavaScript;LOCAL;0.01;0.44%;0;10
JSClosureCompilerSyntax;JavaScript and TypeScript/General;Incorrect usage of JSDoc tags;JavaScript;LOCAL;0.01;0.36%;0;10
JSPotentiallyInvalidUsageOfThis;JavaScript and TypeScript/Probable bugs;Potentially invalid reference to 'this' from closure;JavaScript;LOCAL;0.01;0.25%;0;9
TypeScriptDuplicateUnionOrIntersectionType;JavaScript and TypeScript/TypeScript;Duplicate union or intersection type component;TypeScript;LOCAL;0.01;0.24%;0;8
JSVoidFunctionReturnValueUsed;JavaScript and TypeScript/Probable bugs;Void function return value used;JavaScript;LOCAL;0.01;0.23%;0;8
JSSuspiciousNameCombination;JavaScript and TypeScript/Probable bugs;Suspicious variable/parameter name combination;JavaScript;LOCAL;0.01;0.23%;0;8
StatementWithEmptyBodyJS;JavaScript and TypeScript/Potentially confusing code constructs;Statement with empty body;JavaScript;LOCAL;0.01;0.22%;0;8
JSUndefinedPropertyAssignment;JavaScript and TypeScript/Code style issues;Undefined property assignment;JavaScript;LOCAL;0.01;0.18%;0;8
JSMethodCanBeStatic;JavaScript and TypeScript/General;Method can be made 'static';JavaScript;LOCAL;0.00;0.18%;0;10
JSIncompatibleTypesComparison;JavaScript and TypeScript/Probable bugs;Comparison of expressions having incompatible types;JavaScript;LOCAL;0.00;0.18%;0;9
JSDuplicatedDeclaration;JavaScript and TypeScript/General;Duplicate declaration;JavaScript;LOCAL;0.00;0.16%;0;9
UnnecessaryContinueJS;JavaScript and TypeScript/Control flow issues;Unnecessary 'continue' statement;JavaScript;LOCAL;0.00;0.15%;0;10
JSPrimitiveTypeWrapperUsage;JavaScript and TypeScript/General;Primitive type object wrapper used;JavaScript;LOCAL;0.00;0.14%;0;9
TypeScriptAbstractClassConstructorCanBeMadeProtected;JavaScript and TypeScript/TypeScript;Abstract class constructor can be made protected;TypeScript;LOCAL;0.00;0.14%;0;8
JSIgnoredPromiseFromCall;JavaScript and TypeScript/Async code and promises;Result of method call returning a promise is ignored;JavaScript;LOCAL;0.00;0.14%;0;8
JSPotentiallyInvalidUsageOfClassThis;JavaScript and TypeScript/Probable bugs;Potentially invalid reference to 'this' of a class from closure;JavaScript;LOCAL;0.00;0.14%;0;10
TypeScriptRedundantGenericType;JavaScript and TypeScript/TypeScript;Redundant type arguments;TypeScript;LOCAL;0.00;0.14%;0;9
JSBitwiseOperatorUsage;JavaScript and TypeScript/Bitwise operation issues;Bitwise operator usage;JavaScript;LOCAL;0.00;0.13%;0;8
JSUnresolvedVariable;JavaScript and TypeScript/General;Unresolved JavaScript variable;JavaScript;LOCAL;0.00;0.12%;0;9
TypeScriptMissingConfigOption;JavaScript and TypeScript/TypeScript;Missing tsconfig.json option ;TypeScript;LOCAL;0.00;0.12%;0;10
JSValidateJSDoc;JavaScript and TypeScript/General;Syntax errors and unresolved references in JSDoc;JavaScript;LOCAL;0.00;0.12%;0;10
VueDataFunction;Vue;Data function;Vue;LOCAL;0.00;0.12%;0;10
JSNonASCIINames;JavaScript and TypeScript/Naming conventions;Identifiers with non-ASCII symbols;JavaScript;LOCAL;0.00;0.11%;0;9
BadExpressionStatementJS;JavaScript and TypeScript/Validity issues;Expression statement which is not assignment or call;JavaScript;LOCAL;0.00;0.11%;0;10
JSTestFailedLine;JavaScript and TypeScript/Unit testing;Highlight failure line in test code;JavaScript;LOCAL;0.00;0.10%;0;10
JSSuspiciousEqPlus;JavaScript and TypeScript/Probable bugs;Suspicious '=+' assignment;JavaScript;LOCAL;0.00;0.10%;0;8
JSReferencingMutableVariableFromClosure;JavaScript and TypeScript/General;Referencing mutable variable from closure;JavaScript;LOCAL;0.00;0.10%;0;9
JSPotentiallyInvalidTargetOfIndexedPropertyAccess;JavaScript and TypeScript/Probable bugs;Possibly incorrect target of indexed property access;JavaScript;LOCAL;0.00;0.10%;0;9
JSLastCommaInArrayLiteral;JavaScript and TypeScript/General;Unneeded last comma in array literal;JavaScript;LOCAL;0.00;0.10%;0;9
JSUnresolvedLibraryURL;JavaScript and TypeScript/General;Missed locally stored library for HTTP link;HTML;LOCAL;0.00;0.09%;0;10
JSConstantReassignment;JavaScript and TypeScript/Validity issues;Attempt to assign to const or readonly variable;JavaScript;LOCAL;0.00;0.08%;0;9
TypeScriptCheckImport;JavaScript and TypeScript/TypeScript;Unresolved imported name;TypeScript;LOCAL;0.00;0.08%;0;9
JSUnresolvedExtXType;JavaScript and TypeScript/General;Unresolved Ext JS xtype;JavaScript;LOCAL;0.00;0.08%;0;8
JSTypeOfValues;JavaScript and TypeScript/Probable bugs;'typeof' comparison with non-standard value;JavaScript;LOCAL;0.00;0.08%;0;9
JSUnresolvedFunction;JavaScript and TypeScript/General;Unresolved JavaScript function;JavaScript;LOCAL;0.00;0.08%;0;8
JSOctalInteger;JavaScript and TypeScript/Validity issues;Octal integer;JavaScript;LOCAL;0.00;0.08%;0;9
FallThroughInSwitchStatementJS;JavaScript and TypeScript/Switch statement issues;Fallthrough in 'switch' statement;JavaScript;LOCAL;0.00;0.08%;0;8
TypeScriptFieldCanBeMadeReadonly;JavaScript and TypeScript/TypeScript;Field can be readonly;TypeScript;LOCAL;0.00;0.08%;0;9
JSMismatchedCollectionQueryUpdate;JavaScript and TypeScript/General;Mismatched query and update of collection;JavaScript;LOCAL;0.00;0.08%;0;9
UnnecessaryReturnStatementJS;JavaScript and TypeScript/Control flow issues;Unnecessary 'return' statement;JavaScript;LOCAL;0.00;0.07%;0;9
JSConsecutiveCommasInArrayLiteral;JavaScript and TypeScript/Probable bugs;Consecutive commas in array literal;JavaScript;LOCAL;0.00;0.07%;0;8
JSJQueryEfficiency;JavaScript and TypeScript/General;JQuery selector can be optimized;JavaScript;LOCAL;0.00;0.07%;0;8
JSXNamespaceValidation;JavaScript and TypeScript/Imports and dependencies;Missing JSX namespace;JavaScript;LOCAL;0.00;0.07%;0;9
TypeScriptLibrary;JavaScript and TypeScript/TypeScript;Missing global library;TypeScript;LOCAL;0.00;0.07%;0;9
JSCommentMatchesSignature;JavaScript and TypeScript/General;Mismatched JSDoc and function signature;JavaScript;LOCAL;0.00;0.07%;0;8
LoopStatementThatDoesntLoopJS;JavaScript and TypeScript/Control flow issues;Loop statement that doesn't loop;JavaScript;LOCAL;0.00;0.07%;0;9
JSUndeclaredVariable;JavaScript and TypeScript/General;Implicitly declared global JavaScript variable;JavaScript;LOCAL;0.00;0.07%;0;9
JSLastCommaInObjectLiteral;JavaScript and TypeScript/General;Unneeded last comma in object literal;JavaScript;LOCAL;0.00;0.07%;0;9
JSUnnecessarySemicolon;JavaScript and TypeScript/General;Unnecessary semicolon;JavaScript;LOCAL;0.00;0.07%;0;8
